gtdb_accession	ncbi_accession	gcf_accession	checkm2_completeness	checkm2_contamination	contig_count	n50_contigs	longest_contig	genome_size	domain	phylum	gtdb_taxonomy	fasta_path	download_dir	family	feature_domain
RS_GCF_030179475.1	GCA_030179475.1	GCF_030179475.1	100.0	0.01	5	5603828	5603828	5890971	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia nevei	/home/tianrm/projects/magicc2/data/genomes/GCF_030179475.1/GCF_030179475.1_ASM3017947v1_genomic.fna	GCF_030179475.1	Enterobacteriaceae	bacterial
RS_GCF_963900415.1	GCA_963900415.1	GCF_963900415.1	100.0	0.0	99	113355	286980	4683060	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia alsatica	/home/tianrm/projects/magicc2/data/genomes/GCF_963900415.1/GCF_963900415.1_ena-yuan-GCF_902170285.1_genomic.fna	GCF_963900415.1	Enterobacteriaceae	bacterial
RS_GCF_000469155.1	GCA_000469155.1	GCF_000469155.1	99.44	0.02	5	736154	881923	1957724	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RS24;f__RS24;g__Micropelagos;s__Micropelagos thuwalensis	/home/tianrm/projects/magicc2/data/genomes/GCF_000469155.1/GCF_000469155.1_RS24_genomic.fna	GCF_000469155.1	RS24	bacterial
RS_GCF_001362655.1	GCA_001362655.1	GCF_001362655.1	100.0	0.2	51	206199	495135	4931826	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	/home/tianrm/projects/magicc2/data/genomes/GCF_001362655.1/GCF_001362655.1_10607_1_77_genomic.fna	GCF_001362655.1	Enterobacteriaceae	bacterial
RS_GCF_019879685.1	GCA_019879685.1	GCF_019879685.1	100.0	0.48	9	5015458	5015458	5311043	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	/home/tianrm/projects/magicc2/data/genomes/GCF_019879685.1/GCF_019879685.1_ASM1987968v1_genomic.fna	GCF_019879685.1	Enterobacteriaceae	bacterial
GB_GCA_002294065.1	GCA_002294065.1		99.63	0.0	56	153166	647077	4706375	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia;s__Leclercia adecarboxylata	/home/tianrm/projects/magicc2/data/genomes/GCA_002294065.1/GCA_002294065.1_ASM229406v1_genomic.fna	GCA_002294065.1	Enterobacteriaceae	bacterial
RS_GCF_037995245.1	GCA_037995245.1	GCF_037995245.1	100.0	0.08	34	489952	1263840	4690585	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	/home/tianrm/projects/magicc2/data/genomes/GCF_037995245.1/GCF_037995245.1_ASM3799524v1_genomic.fna	GCF_037995245.1	Enterobacteriaceae	bacterial
RS_GCF_039982045.1	GCA_039982045.1	GCF_039982045.1	99.86	0.87	28	314481	549551	4681352	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Natronospirillaceae;g__Saccharospirillum;s__Saccharospirillum sp039982735	/home/tianrm/projects/magicc2/data/genomes/GCF_039982045.1/GCF_039982045.1_ASM3998204v1_genomic.fna	GCF_039982045.1	Natronospirillaceae	bacterial
GB_GCA_038147195.1	GCA_038147195.1		100.0	0.93	6	2601762	2601762	2982448	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__Eutrophocola;s__Eutrophocola salsuginis	/home/tianrm/projects/magicc2/data/genomes/GCA_038147195.1/GCA_038147195.1_SD3109_NP.scaffolds.fasta_genomic.fna	GCA_038147195.1	Pseudohongiellaceae	bacterial
RS_GCF_015482775.1	GCA_015482775.1	GCF_015482775.1	98.31	1.34	1	4630536	4630536	4630536	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Im1;g__Kaustia;s__Kaustia mangrovi	/home/tianrm/projects/magicc2/data/genomes/GCF_015482775.1/GCF_015482775.1_ASM1548277v1_genomic.fna	GCF_015482775.1	Im1	bacterial
RS_GCF_004170325.1	GCA_004170325.1	GCF_004170325.1	100.0	0.18	44	195867	365020	3278624	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila	/home/tianrm/projects/magicc2/data/genomes/GCF_004170325.1/GCF_004170325.1_ASM417032v1_genomic.fna	GCF_004170325.1	Legionellaceae	bacterial
RS_GCF_001633915.1	GCA_001633915.1	GCF_001633915.1	100.0	0.11	69	221959	535965	5125547	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	/home/tianrm/projects/magicc2/data/genomes/GCF_001633915.1/GCF_001633915.1_ASM163391v1_genomic.fna	GCF_001633915.1	Vibrionaceae	bacterial
GB_GCA_964229405.1	GCA_964229405.1		100.0	0.0	7	420892	960304	1954058	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__SXRF01;g__JAJTHB01;s__JAJTHB01 sp964231325	/home/tianrm/projects/magicc2/data/genomes/GCA_964229405.1/GCA_964229405.1_YZ10B_1.53_genomic.fna	GCA_964229405.1	SXRF01	bacterial
RS_GCF_002080415.1	GCA_002080415.1	GCF_002080415.1	100.0	0.12	3	4170996	4170996	4381426	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius mucosus_A	/home/tianrm/projects/magicc2/data/genomes/GCF_002080415.1/GCF_002080415.1_ASM208041v1_genomic.fna	GCF_002080415.1	Rhodobacteraceae	bacterial
GB_GCA_018398995.1	GCA_018398995.1		98.63	0.06	1	2025576	2025576	2025576	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__GCA-2401735;s__GCA-2401735 sp018398995	/home/tianrm/projects/magicc2/data/genomes/GCA_018398995.1/GCA_018398995.1_ASM1839899v1_genomic.fna	GCA_018398995.1	Methylophilaceae	bacterial
RS_GCF_032307895.1	GCA_032307895.1	GCF_032307895.1	100.0	0.06	36	491924	1319269	4764459	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	/home/tianrm/projects/magicc2/data/genomes/GCF_032307895.1/GCF_032307895.1_ASM3230789v1_genomic.fna	GCF_032307895.1	Enterobacteriaceae	bacterial
RS_GCF_029263755.1	GCA_029263755.1	GCF_029263755.1	99.95	0.0	65	75579	186839	3141407	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas shengliensis	/home/tianrm/projects/magicc2/data/genomes/GCF_029263755.1/GCF_029263755.1_ASM2926375v1_genomic.fna	GCF_029263755.1	Halomonadaceae	bacterial
RS_GCF_039673185.1	GCA_039673185.1	GCF_039673185.1	99.97	0.04	22	294951	1012819	2933152	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas naejangsanensis	/home/tianrm/projects/magicc2/data/genomes/GCF_039673185.1/GCF_039673185.1_ASM3967318v1_genomic.fna	GCF_039673185.1	Caulobacteraceae	bacterial
GB_GCA_900456645.1	GCA_900456645.1		99.86	0.22	2	4602547	4602547	4607816	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	/home/tianrm/projects/magicc2/data/genomes/GCA_900456645.1/GCA_900456645.1_39111_F01_genomic.fna	GCA_900456645.1	Enterobacteriaceae	bacterial
RS_GCF_037196865.1	GCA_037196865.1	GCF_037196865.1	100.0	0.03	88	127950	352167	4648686	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	/home/tianrm/projects/magicc2/data/genomes/GCF_037196865.1/GCF_037196865.1_ASM3719686v1_genomic.fna	GCF_037196865.1	Enterobacteriaceae	bacterial
RS_GCF_021228915.1	GCA_021228915.1	GCF_021228915.1	100.0	1.02	1	4592981	4592981	4592981	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas altamirensis	/home/tianrm/projects/magicc2/data/genomes/GCF_021228915.1/GCF_021228915.1_ASM2122891v1_genomic.fna	GCF_021228915.1	Rhizobiaceae	bacterial
RS_GCF_009428945.1	GCA_009428945.1	GCF_009428945.1	100.0	0.07	24	514107	1453311	5465757	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Photorhabdus;s__Photorhabdus khanii	/home/tianrm/projects/magicc2/data/genomes/GCF_009428945.1/GCF_009428945.1_ASM942894v1_genomic.fna	GCF_009428945.1	Enterobacteriaceae	bacterial
RS_GCF_020971765.1	GCA_020971765.1	GCF_020971765.1	100.0	0.01	1	4656683	4656683	4656683	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C	/home/tianrm/projects/magicc2/data/genomes/GCF_020971765.1/GCF_020971765.1_ASM2097176v1_genomic.fna	GCF_020971765.1	Enterobacteriaceae	bacterial
RS_GCF_038396315.1	GCA_038396315.1	GCF_038396315.1	100.0	0.26	6	4800529	4800529	5112851	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	/home/tianrm/projects/magicc2/data/genomes/GCF_038396315.1/GCF_038396315.1_ASM3839631v1_genomic.fna	GCF_038396315.1	Enterobacteriaceae	bacterial
RS_GCF_018359805.1	GCA_018359805.1	GCF_018359805.1	100.0	0.16	41	392050	955995	4461156	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae	/home/tianrm/projects/magicc2/data/genomes/GCF_018359805.1/GCF_018359805.1_ASM1835980v1_genomic.fna	GCF_018359805.1	Aeromonadaceae	bacterial
RS_GCF_004284075.1	GCA_004284075.1	GCF_004284075.1	100.0	0.18	72	209894	557190	4754138	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	/home/tianrm/projects/magicc2/data/genomes/GCF_004284075.1/GCF_004284075.1_ASM428407v1_genomic.fna	GCF_004284075.1	Enterobacteriaceae	bacterial
RS_GCF_033487835.1	GCA_033487835.1	GCF_033487835.1	100.0	0.09	83	226314	387112	4922249	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C	/home/tianrm/projects/magicc2/data/genomes/GCF_033487835.1/GCF_033487835.1_ASM3348783v1_genomic.fna	GCF_033487835.1	Enterobacteriaceae	bacterial
RS_GCF_003346855.2	GCA_003346855.2	GCF_003346855.2	100.0	0.09	42	265368	667989	4702051	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	/home/tianrm/projects/magicc2/data/genomes/GCF_003346855.2/GCF_003346855.2_ASM334685v2_genomic.fna	GCF_003346855.2	Enterobacteriaceae	bacterial
GB_GCA_024919255.1	GCA_024919255.1		99.92	0.01	1	1330779	1330779	1330779	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__BACL14;s__BACL14 sp010023085	/home/tianrm/projects/magicc2/data/genomes/GCA_024919255.1/GCA_024919255.1_ASM2491925v1_genomic.fna	GCA_024919255.1	Methylophilaceae	bacterial
RS_GCF_040065695.1	GCA_040065695.1	GCF_040065695.1	100.0	0.11	56	155263	832728	5307175	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	/home/tianrm/projects/magicc2/data/genomes/GCF_040065695.1/GCF_040065695.1_ASM4006569v1_genomic.fna	GCF_040065695.1	Enterobacteriaceae	bacterial
RS_GCF_003855415.1	GCA_003855415.1	GCF_003855415.1	99.99	0.09	2	2217835	2217835	2222042	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria gonorrhoeae	/home/tianrm/projects/magicc2/data/genomes/GCF_003855415.1/GCF_003855415.1_ASM385541v1_genomic.fna	GCF_003855415.1	Neisseriaceae	bacterial
RS_GCF_900592845.1	GCA_900592845.1	GCF_900592845.1	100.0	1.24	99	158794	578429	7095021	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia mallei	/home/tianrm/projects/magicc2/data/genomes/GCF_900592845.1/GCF_900592845.1_10235_7_47_genomic.fna	GCF_900592845.1	Burkholderiaceae	bacterial
RS_GCF_019219755.1	GCA_019219755.1	GCF_019219755.1	100.0	0.07	41	276144	938256	4579802	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Limnobaculum;s__Limnobaculum allomyrinae	/home/tianrm/projects/magicc2/data/genomes/GCF_019219755.1/GCF_019219755.1_ASM1921975v1_genomic.fna	GCF_019219755.1	Enterobacteriaceae	bacterial
RS_GCF_002933395.1	GCA_002933395.1	GCF_002933395.1	100.0	0.17	15	912687	988166	3676833	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__Yoonia maritima_A	/home/tianrm/projects/magicc2/data/genomes/GCF_002933395.1/GCF_002933395.1_ASM293339v1_genomic.fna	GCF_002933395.1	Rhodobacteraceae	bacterial
RS_GCF_038594725.1	GCA_038594725.1	GCF_038594725.1	100.0	0.2	4	636082	1569009	3149369	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteriqipengyuania;s__Alteriqipengyuania sp002377695	/home/tianrm/projects/magicc2/data/genomes/GCF_038594725.1/GCF_038594725.1_ASM3859472v1_genomic.fna	GCF_038594725.1	Sphingomonadaceae	bacterial
RS_GCF_902860085.1	GCA_902860085.1	GCF_902860085.1	100.0	0.1	48	299132	907685	6456955	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter ruhlandii	/home/tianrm/projects/magicc2/data/genomes/GCF_902860085.1/GCF_902860085.1_LMG_3328_genomic.fna	GCF_902860085.1	Burkholderiaceae	bacterial
RS_GCF_032907165.1	GCA_032907165.1	GCF_032907165.1	100.0	0.11	41	281846	663166	4579495	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	/home/tianrm/projects/magicc2/data/genomes/GCF_032907165.1/GCF_032907165.1_ASM3290716v1_genomic.fna	GCF_032907165.1	Enterobacteriaceae	bacterial
RS_GCF_001672435.1	GCA_001672435.1	GCF_001672435.1	100.0	0.86	33	373763	895267	6052692	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp002294985	/home/tianrm/projects/magicc2/data/genomes/GCF_001672435.1/GCF_001672435.1_AA23_genomic.fna	GCF_001672435.1	Rhizobiaceae	bacterial
RS_GCF_031624855.1	GCA_031624855.1	GCF_031624855.1	100.0	0.08	57	269516	949600	5439021	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	/home/tianrm/projects/magicc2/data/genomes/GCF_031624855.1/GCF_031624855.1_ASM3162485v1_genomic.fna	GCF_031624855.1	Enterobacteriaceae	bacterial
RS_GCF_014495625.1	GCA_014495625.1	GCF_014495625.1	100.0	0.49	40	408642	661612	5133968	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	/home/tianrm/projects/magicc2/data/genomes/GCF_014495625.1/GCF_014495625.1_ASM1449562v1_genomic.fna	GCF_014495625.1	Enterobacteriaceae	bacterial
RS_GCF_034809125.1	GCA_034809125.1	GCF_034809125.1	100.0	1.61	47	254187	445153	4768268	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sp003028475	/home/tianrm/projects/magicc2/data/genomes/GCF_034809125.1/GCF_034809125.1_ASM3480912v1_genomic.fna	GCF_034809125.1	Xanthomonadaceae	bacterial
RS_GCF_014198415.1	GCA_014198415.1	GCF_014198415.1	99.96	0.36	47	433342	858121	6894975	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum	/home/tianrm/projects/magicc2/data/genomes/GCF_014198415.1/GCF_014198415.1_ASM1419841v1_genomic.fna	GCF_014198415.1	Rhizobiaceae	bacterial
RS_GCF_037402835.1	GCA_037402835.1	GCF_037402835.1	100.0	0.04	57	280612	803185	4851126	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio vulnificus	/home/tianrm/projects/magicc2/data/genomes/GCF_037402835.1/GCF_037402835.1_ASM3740283v1_genomic.fna	GCF_037402835.1	Vibrionaceae	bacterial
